time	V(1)	V(5)	V(6)
1.547707349464141e-001	1.656109e+002	-2.170963e+001	2.170963e+001
1.553970101691705e-001	1.520389e+002	-1.967729e+001	1.967729e+001
1.563735726691705e-001	1.144798e+002	-1.462656e+001	1.462656e+001
1.573501351691705e-001	6.157874e+001	-7.865341e+000	7.865341e+000
1.583266976691705e-001	4.252692e-001	-4.973845e-002	4.973845e-002
1.593032601691705e-001	-6.078519e+001	7.772842e+000	-7.772842e+000
1.602798226691705e-001	-1.138496e+002	1.455406e+001	-1.455406e+001
1.612563851691705e-001	-1.516564e+002	1.977924e+001	-1.977924e+001
1.616738957886246e-001	-1.618222e+002	2.130914e+001	-2.130914e+001
1.619649821973047e-001	-1.665538e+002	2.196272e+001	-2.196272e+001
1.622446090063210e-001	-1.692127e+002	2.230932e+001	-2.230932e+001
1.625522992002775e-001	-1.699670e+002	2.240771e+001	-2.240771e+001
1.628351576279933e-001	-1.686448e+002	2.219944e+001	-2.219944e+001
1.632951835008198e-001	-1.624184e+002	2.122194e+001	-2.122194e+001
1.640373622864484e-001	-1.422385e+002	1.840155e+001	-1.840155e+001
1.648720955506446e-001	-1.064365e+002	1.378960e+001	-1.378960e+001
1.655426155921429e-001	-6.990201e+001	9.106783e+000	-9.106783e+000
1.661562972094612e-001	-3.250737e+001	4.241365e+000	-4.241365e+000
1.667676746078695e-001	6.471882e+000	-8.473582e-001	8.473582e-001
1.673242893767563e-001	4.171563e+001	-5.388385e+000	5.388385e+000
1.683008518767563e-001	9.823193e+001	-1.255365e+001	1.255365e+001
1.692774143767563e-001	1.415837e+002	-1.833912e+001	1.833912e+001
1.698885474705750e-001	1.593303e+002	-2.092233e+001	2.092233e+001
1.702099223440398e-001	1.653266e+002	-2.179498e+001	2.179498e+001
1.704691546387351e-001	1.684003e+002	-2.220898e+001	2.220898e+001
1.707459327609660e-001	1.699077e+002	-2.239748e+001	2.239748e+001
1.710508382242134e-001	1.694288e+002	-2.230760e+001	2.230760e+001
1.714373474858732e-001	1.656117e+002	-2.170975e+001	2.170975e+001
1.720635895774795e-001	1.520414e+002	-1.967765e+001	1.967765e+001
1.730401520774795e-001	1.144839e+002	-1.462710e+001	1.462710e+001
1.740167145774795e-001	6.158395e+001	-7.866013e+000	7.866013e+000
1.749932770774795e-001	4.308615e-001	-5.045833e-002	5.045833e-002
1.759698395774795e-001	-6.077997e+001	7.772170e+000	-7.772170e+000
1.769464020774795e-001	-1.138454e+002	1.455353e+001	-1.455353e+001
1.779229645774795e-001	-1.516539e+002	1.977887e+001	-1.977887e+001
1.783405297452697e-001	-1.618215e+002	2.130904e+001	-2.130904e+001
1.786316244115743e-001	-1.665535e+002	2.196267e+001	-2.196267e+001
1.789112462343213e-001	-1.692125e+002	2.230930e+001	-2.230930e+001
1.792189135990391e-001	-1.699670e+002	2.240772e+001	-2.240772e+001
1.795017391922382e-001	-1.686455e+002	2.219955e+001	-2.219955e+001
1.799617120197879e-001	-1.624210e+002	2.122234e+001	-2.122234e+001
1.807038078751014e-001	-1.422463e+002	1.840360e+001	-1.840360e+001
1.815363075033403e-001	-1.065591e+002	1.380637e+001	-1.380637e+001
1.822067546418427e-001	-7.004964e+001	9.125964e+000	-9.125964e+000
