time	V(7)	V(8)
6.053772016430645e-001	2.185712e+001	-2.185712e+001
6.063537641430645e-001	2.185712e+001	-2.185712e+001
6.073303266430645e-001	2.185712e+001	-2.185712e+001
6.083068891430645e-001	2.185712e+001	-2.185712e+001
6.092834516430645e-001	2.185712e+001	-2.185712e+001
6.102600141430645e-001	2.185712e+001	-2.185712e+001
6.112365766430645e-001	2.185712e+001	-2.185712e+001
6.116664655190938e-001	2.185712e+001	-2.185712e+001
6.119594289249457e-001	2.185712e+001	-2.185712e+001
6.122379253861441e-001	2.185721e+001	-2.185721e+001
6.125404320363422e-001	2.185748e+001	-2.185748e+001
6.128158352503107e-001	2.185770e+001	-2.185770e+001
6.132638118311772e-001	2.185780e+001	-2.185780e+001
6.139871243158452e-001	2.185780e+001	-2.185780e+001
6.147697945464066e-001	2.185780e+001	-2.185780e+001
6.154417399340335e-001	2.185780e+001	-2.185780e+001
6.161193882377681e-001	2.185780e+001	-2.185780e+001
6.167457503414370e-001	2.185780e+001	-2.185780e+001
6.174884325033315e-001	2.185780e+001	-2.185780e+001
6.184649950033315e-001	2.185780e+001	-2.185780e+001
6.194415575033315e-001	2.185780e+001	-2.185780e+001
6.199513796567806e-001	2.185780e+001	-2.185780e+001
6.202566361809363e-001	2.185780e+001	-2.185780e+001
6.205272473722007e-001	2.185787e+001	-2.185787e+001
6.207955981906401e-001	2.185807e+001	-2.185807e+001
6.210693070803585e-001	2.185827e+001	-2.185827e+001
6.214673782748925e-001	2.185836e+001	-2.185836e+001
6.221119776884538e-001	2.185837e+001	-2.185837e+001
6.230885401884538e-001	2.185837e+001	-2.185837e+001
6.240651026884538e-001	2.185837e+001	-2.185837e+001
6.250416651884538e-001	2.185837e+001	-2.185837e+001
6.260182276884538e-001	2.185837e+001	-2.185837e+001
6.269947901884538e-001	2.185837e+001	-2.185837e+001
6.279713526884538e-001	2.185837e+001	-2.185837e+001
6.283590717946468e-001	2.185837e+001	-2.185837e+001
6.286454931439816e-001	2.185837e+001	-2.185837e+001
6.289279557917749e-001	2.185843e+001	-2.185843e+001
6.292790989014456e-001	2.185860e+001	-2.185860e+001
6.295997210073254e-001	2.185873e+001	-2.185873e+001
6.301206099854548e-001	2.185879e+001	-2.185879e+001
6.309571536584702e-001	2.185879e+001	-2.185879e+001
6.316716857130740e-001	2.185879e+001	-2.185879e+001
6.323176866923647e-001	2.185879e+001	-2.185879e+001
6.329652701157817e-001	2.185879e+001	-2.185879e+001
6.335839206526194e-001	2.185879e+001	-2.185879e+001
6.344168933410026e-001	2.185879e+001	-2.185879e+001
6.353934558410026e-001	2.185879e+001	-2.185879e+001
6.363700183410026e-001	2.185879e+001	-2.185879e+001
6.367400944968154e-001	2.185879e+001	-2.185879e+001
6.370145646739396e-001	2.185880e+001	-2.185880e+001
