time	V(n002)	V(n005)	V(n007)
2.389212499961106e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.424089732103963e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.458966964246820e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.493844196389677e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.528721428532534e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.563598660675392e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.598475892818249e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.633353124961106e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.685668973175392e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.737984821389678e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.790300669603963e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.842616517818249e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.894932366032535e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.947248214246821e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.999564062461106e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.083269419603963e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.166974776746821e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.250680133889678e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.334385491032535e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.418090848175393e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.501796205318250e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.585501562461107e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.694318526746821e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.803135491032536e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
3.911952455318250e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.020769419603964e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.129586383889679e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.238403348175393e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.347220312461108e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.407906696389679e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.468593080318251e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.529279464246822e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.589965848175394e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.650652232103965e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.711338616032536e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.772024999961108e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.791556249961107e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.811087499961107e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.830618749961107e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.850149999961106e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.869681249961106e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.889212499961105e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.908743749961105e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.913626562461105e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
4.996634374961096e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
5.000000000000000e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
