time	V(n002)	V(n003)
8.061070089207928e-004	-6.494158e-002	-3.344334e-002
8.135009821350786e-004	-7.164334e-002	-3.690408e-002
8.208949553493644e-004	-7.770616e-002	-4.003541e-002
8.282889285636501e-004	-8.313003e-002	-4.283732e-002
8.356829017779358e-004	-8.791496e-002	-4.530983e-002
8.430768749922215e-004	-9.206095e-002	-4.745293e-002
8.554931696350786e-004	-9.694143e-002	-4.997836e-002
8.679094642779358e-004	-9.948069e-002	-5.129569e-002
8.803257589207929e-004	-9.967872e-002	-5.140491e-002
8.927420535636501e-004	-9.753552e-002	-5.030603e-002
9.051583482065072e-004	-9.305110e-002	-4.799904e-002
9.175746428493645e-004	-8.622546e-002	-4.448395e-002
9.299909374922216e-004	-7.705858e-002	-3.976075e-002
9.361293303493645e-004	-7.182680e-002	-3.706415e-002
9.422677232065073e-004	-6.625661e-002	-3.419270e-002
9.484061160636502e-004	-6.034803e-002	-3.114641e-002
9.545445089207930e-004	-5.410105e-002	-2.792528e-002
9.606829017779359e-004	-4.751567e-002	-2.452931e-002
9.668212946350788e-004	-4.059190e-002	-2.095850e-002
9.729596874922216e-004	-3.332972e-002	-1.721285e-002
9.827253124922210e-004	-2.153792e-002	-1.113025e-002
9.849574553493635e-004	-1.878518e-002	-9.710183e-003
9.871895982065061e-004	-1.602311e-002	-8.285266e-003
9.894217410636487e-004	-1.325172e-002	-6.855498e-003
9.916538839207915e-004	-1.047101e-002	-5.420880e-003
9.938860267779341e-004	-7.680965e-003	-3.981411e-003
9.961181696350767e-004	-4.881600e-003	-2.537091e-003
9.983503124922192e-004	-2.072910e-003	-1.087920e-003
9.993268749922191e-004	-8.458637e-004	-4.548050e-004
1.000000000000000e-003	-4.898587e-017	-1.835812e-005
